X,Y
2463, 0      
2465, 0      
2467, 0      
2469, 0      
2471, 0      
2473, 0      
2475, 0      
2477, 0      
2479, 0      
2481, 0      
2483, 0      
2485, 0      
2487, 0      
2489, 0      
2491, 0      
2493, 0      
2495, 0      
2497, 0      
2499, 0      
2501, 0      
2503, 0      
2505, 0      
2507, 0      
2509, 0      
2511, 0      
2513, 0      
2515, 0      
2517, 0      
2519, 0      
2521, 0      
2523, 0      
2525, 0      
2527, 0      
2529, 0      
2531, 0      
2533, 0      
2535, 0      
2537, 0      
2539, 0      
2541, 0      
2543, 0      
2545, 0      
2547, 0      
2549, 0      
2551, 0      
2553, 0      
2555, 0      
2557, 0      
2559, 0      
2561, 0      
2563, 0      
2565, 0      
2567, 0      
2569, 0      
2571, 0      
2573, 0      
2575, 0      
2577, 0      
2579, 0      
2581, 0      
2583, 0      
2585, 0      
2587, 0      
2589, 0      
2591, 0      
2593, 0      
2595, 0      
2597, 0      
2599, 0      
2601, 0      
2603, 0      
2605, 0      
2607, 0      
2609, 0      
2611, 0      
2613, 0      
2615, 0      
2617, 0      
2619, 0      
2621, 0      
2623, 0      
2625, 0      
2627, 2      
2629, 2      
2631, 2      
2633, 5      
2635, 5      
2637, 5      
2639, 8      
2641, 5      
2643, 5      
2645, 2      
2647, 2      
2649, 0      
2651, 0      
2653, 0      
2655, 0      
2657, 0      
2659, 0      
2661, 0      
2663, 0      
2665, 0      
2667, 0      
2669, 0      
2671, 0      
2673, 0      
2675, 0      
2677, 0      
2679, 0      
2681, 0      
2683, 0      
2685, 0      
2687, 0      
2689, 0      
2691, 0      
2693, 0      
2695, 0      
2697, 0      
2699, 0      
2701, 0      
2703, 0      
2705, 0      
2707, 0      
2709, 0      
2711, 0      
2713, 2      
2715, 5      
2717, 5      
2719, 8      
2721, 5      
2723, 8      
